,overall_run_index,simulation_run_index,consumer_index,utility
1415,0,15,3,0.5405867481320512
1416,0,16,3,-0.26431506366994273
1417,0,17,3,0.6313204052738928
1418,0,18,3,0.6484949295765648
1419,0,19,3,0.6158420121910846
1420,0,20,3,0.6403646145552209
1421,0,21,3,0.5632079195423079
1422,0,22,3,0.7682052648541569
1423,0,23,3,-0.12774242129418523
1424,0,24,3,-0.12774242129418523
1425,0,25,3,-0.1688210810748288
1426,0,26,3,0.805701566282579
1427,0,27,3,0.6748963110288748
1428,0,28,3,0.731162870837621
1429,0,29,3,0.5405867481320512
1430,0,30,3,0.7110023637936919
1431,0,31,3,-0.2605807462312959
1432,0,32,3,-0.23240549403638974
1433,0,33,3,0.6943864363526707
1434,0,34,3,0.769873601652904
1435,0,35,3,-0.1748295364196762
1436,0,36,3,0.6943864363526707
1437,0,37,3,0.6673653572919317
1438,0,38,3,-0.21553773711996602
1439,0,39,3,0.564938385071555
1440,0,40,3,0.6313204052738928
1441,0,41,3,0.6912593410952952
1442,0,42,3,0.805701566282579
1443,0,43,3,0.5058645865867502
1444,0,44,3,-0.11271896253834693
1445,0,45,3,-0.23242601911230668
1446,0,46,3,0.7035463638230766
1447,0,47,3,0.769873601652904
1448,0,48,3,0.5376126349841635
1449,0,49,3,0.490979139375031
1450,0,0,4,0.6484949295765648
1451,0,1,4,0.6192244317373832
1452,0,2,4,-0.1766071278178883
1453,0,3,4,-0.26305786506076734
1454,0,4,4,0.6930677806119587
1455,0,5,4,-0.1681840756777142
1456,0,6,4,0.6943864363526707
1457,0,7,4,-0.24697338974093666
1458,0,8,4,0.731162870837621
1459,0,9,4,0.769873601652904
1460,0,10,4,-0.14917957967778472
1461,0,11,4,-0.21936976201922892
1462,0,12,4,0.7289102325119543
1463,0,13,4,-0.18442667163251308
1464,0,14,4,0.6930677806119587
1465,0,15,4,0.6484949295765648
1466,0,16,4,0.7528351063537468
1467,0,17,4,0.6124161598665409
1468,0,18,4,0.660792568567397
1469,0,19,4,-0.13016033160949986
1470,0,20,4,0.6313204052738928
1471,0,21,4,-0.20352146143192923
1472,0,22,4,0.6943864363526707
1473,0,23,4,0.769873601652904
1474,0,24,4,0.8172575730908259
1475,0,25,4,0.5119048106771361
1476,0,26,4,0.564938385071555
1477,0,27,4,0.805701566282579
1478,0,28,4,-0.23242601911230668
1479,0,29,4,-0.24164866011709366
1480,0,30,4,0.6920893185251078
1481,0,31,4,-0.26305786506076734
1482,0,32,4,0.6192244317373832
1483,0,33,4,0.7143649463962592
1484,0,34,4,0.8136659863659835
1485,0,35,4,0.7143649463962592
1486,0,36,4,0.7528351063537468
1487,0,37,4,-0.15979857714164208
1488,0,38,4,0.8136659863659835
1489,0,39,4,-0.22946071538846435
1490,0,40,4,0.6748963110288748
1491,0,41,4,0.6760310917023384
1492,0,42,4,-0.18483523644389688
1493,0,43,4,0.8172575730908259
1494,0,44,4,-0.1748295364196762
1495,0,45,4,0.7528351063537468
1496,0,46,4,0.6912346787464037
1497,0,47,4,0.6178673649639395
1498,0,48,4,0.6313204052738928
1499,0,49,4,-0.18483523644389688
1500,0,0,0,-0.283784601957358
1501,0,1,0,-0.1392617932397749
1502,0,2,0,0.7914692295835141
1503,0,3,0,0.7364683437928938
1504,0,4,0,0.7174104089139359
1505,0,5,0,0.6762313558932833
1506,0,6,0,0.7496784676418855
1507,0,7,0,0.7331729929022236
