,overall_run_index,simulation_run_index,consumer_index,mae
1440,0,40,3,0.4219187329727155
1441,0,41,3,0.4221343989492511
1442,0,42,3,0.42547550555718516
1443,0,43,3,0.4223997271297344
1444,0,44,3,0.42257066730067455
1445,0,45,3,0.4424515754786458
1446,0,46,3,0.4418324152850175
1447,0,47,3,0.44126796536711926
1448,0,48,3,0.4271006150194052
1449,0,49,3,0.42329181935772203
1450,0,0,4,0.6779775798425685
1451,0,1,4,0.46106387021415673
1452,0,2,4,0.4440162090397741
1453,0,3,4,0.5738005286144261
1454,0,4,4,0.566347894487368
1455,0,5,4,0.496760458860593
1456,0,6,4,0.48090175973753135
1457,0,7,4,0.473944788136877
1458,0,8,4,0.5526313010993801
1459,0,9,4,0.4757191209848067
1460,0,10,4,0.47368365290752235
1461,0,11,4,0.4983360367352578
1462,0,12,4,0.47829434843807667
1463,0,13,4,0.48067530081902904
1464,0,14,4,0.4822626024063306
1465,0,15,4,0.4833786738349021
1466,0,16,4,0.4905433235039685
1467,0,17,4,0.48454831486589955
1468,0,18,4,0.48513311018753696
1469,0,19,4,0.48558765564208245
1470,0,20,4,0.5291578950058885
1471,0,21,4,0.4847073454796616
1472,0,22,4,0.4851851285661403
1473,0,23,4,0.4855819539629657
1474,0,24,4,0.485915287296299
1475,0,25,4,0.4903133673735569
1476,0,26,4,0.4863505103056964
1477,0,27,4,0.4865839370097113
1478,0,28,4,0.4867855905688967
1479,0,29,4,0.517207671467527
1480,0,30,4,0.48655423882490395
1481,0,31,4,0.4937916090954015
1482,0,32,4,0.48697032599957074
1483,0,33,4,0.48714470405118665
1484,0,34,4,0.5012023763914996
1485,0,35,4,0.4876861611331036
1486,0,36,4,0.4935107937205616
1487,0,37,4,0.5050281376045412
1488,0,38,4,0.4891676909113376
1489,0,39,4,0.5111123463306361
1490,0,40,4,0.4881551408937989
1491,0,41,4,0.48829080769613237
1492,0,42,4,0.4884138543308069
1493,0,43,4,0.5003737779416381
1494,0,44,4,0.488789099486034
1495,0,45,4,0.5086151205776339
1496,0,46,4,0.5080202910191804
1497,0,47,4,0.5074742560729439
1498,0,48,4,0.4884534299263035
1499,0,49,4,0.49139663976507153
1500,0,0,0,0.5601902993132009
1501,0,1,0,0.37809989614679834
1502,0,2,0,0.5445938732890182
1503,0,3,0,0.5590070968876053
1504,0,4,0,0.5611580257186679
1505,0,5,0,0.5399945001364044
1506,0,6,0,0.5028275233252074
1507,0,7,0,0.48437081037864943
1508,0,8,0,0.482258258923738
1509,0,9,0,0.5462856153055354
1510,0,10,0,0.5326492516691719
1511,0,11,0,0.49460817822622477
1512,0,12,0,0.49593890495898046
1513,0,13,0,0.4840341430542186
1514,0,14,0,0.5201708604419604
1515,0,15,0,0.4810843545576191
1516,0,16,0,0.49036604880163365
1517,0,17,0,0.48313751144378386
1518,0,18,0,0.48489189740869615
1519,0,19,0,0.48608237359917233
1520,0,20,0,0.482982964052706
1521,0,21,0,0.4867531796587486
1522,0,22,0,0.48735704439304806
1523,0,23,0,0.5124798677218474
1524,0,24,0,0.48880640177064455
1525,0,25,0,0.49089257800729247
1526,0,26,0,0.48922036789388734
1527,0,27,0,0.4894909306644501
1528,0,28,0,0.5204191897043947
1529,0,29,0,0.48853774564832125
1530,0,30,0,0.4864059479347116
1531,0,31,0,0.48876874601739007
1532,0,32,0,0.48902127126991524
1533,0,33,0,0.4916644350668727
1534,0,34,0,0.5076537965774456
1535,0,35,0,0.495733686379208
1536,0,36,0,0.48685924230735367
1537,0,37,0,0.4898944032811703
1538,0,38,0,0.49006199168405284
1539,0,39,0,0.5124709219081656
1540,0,40,0,0.4919361343484623
1541,0,41,0,0.48971423416023446
1542,0,42,0,0.49574554116364583
1543,0,43,0,0.49001364698174066
1544,0,44,0,0.5041406052025555
1545,0,45,0,0.49046191795379107
1546,0,46,0,0.49411628480471453
1547,0,47,0,0.49066156838307995
1548,0,48,0,0.4894464145606366
1549,0,49,0,0.49074596095880496
1550,0,0,1,0.6456210312489973
1551,0,1,1,0.42249047311585586
1552,0,2,1,0.42137366578174956
1553,0,3,1,0.5606573722370016
1554,0,4,1,0.5628083010680641
1555,0,5,1,0.48838534585389914
1556,0,6,1,0.46457582204437536
1557,0,7,1,0.47612838569118293
1558,0,8,1,0.4920287173352038
1559,0,9,1,0.46014303460480566
1560,0,10,1,0.5381996333824212
1561,0,11,1,0.5270885222713101
